tags,year,playtime_forever_sum
"""1990s""",2000.0,17591774
"""Beat em up""",2013.0,13193754
"""Shoot Em Up""",2016.0,2125153
1980s,2000.0,17390008
2.5D,2014.0,5964459
2D,2011.0,180386696
2D Fighter,2017.0,6786012
360 Video,2000.0,510
3D Platformer,2010.0,1736844
3D Vision,2010.0,17242745
4 Player Local,2015.0,37624415
4X,2010.0,82563151
6DOF,2012.0,31622
Abstract,2012.0,1081598
Action,2012.0,1149772536
Action RPG,2012.0,125201200
Action-Adventure,2013.0,16404499
Adventure,2006.0,459936282
Agriculture,2016.0,7123142
Aliens,2012.0,26692023
Alternate History,2013.0,9540757
America,2009.0,10000019
Animation & Modeling,2006.0,448366616
Anime,2011.0,32320812
Arcade,2000.0,47636100
Arena Shooter,2011.0,16877844
Artificial Intelligence,2000.0,2148173
Assassin,2012.0,18820283
Asynchronous Multiplayer,2012.0,751137
Atmospheric,2011.0,247651957
Audio Production,2014.0,477553
Base Building,2017.0,38751870
Based On A Novel,2014.0,8882757
Basketball,2015.0,3680901
Batman,2012.0,7504990
Benchmark,2011.0,1603614
Blood,2016.0,9454679
Board Game,2013.0,4426512
Bowling,2011.0,230586
Building,2006.0,449309288
Bullet Hell,2012.0,21556518
Bullet Time,2012.0,5300097
CRPG,2014.0,3616818
Capitalism,2015.0,16048426
Card Game,2013.0,5122186
Cartoon,2012.0,20565744
Cartoony,2014.0,8046238
Casual,2015.0,223706264
Character Action Game,2010.0,1673629
Character Customization,2012.0,62864410
Chess,2000.0,1964316
Choices Matter,2010.0,8154627
Choose Your Own Adventure,2012.0,4869191
Cinematic,2012.0,14205060
City Builder,2015.0,18458560
Class-Based,2012.0,31609979
Classic,2010.0,119366902
Clicker,2015.0,53985067
Co-op,2012.0,1072042099
Co-op Campaign,2009.0,10383383
Cold War,2010.0,8753105
Colorful,2012.0,14189116
Comedy,2006.0,450747645
Comic Book,2012.0,12648219
Competitive,2012.0,847675246
Conspiracy,2012.0,3981399
Controller,2012.0,50532147
Conversation,2010.0,1955381
Crafting,2011.0,160066669
Crime,2000.0,104535172
Crowdfunded,2014.0,3542344
Cult Classic,2009.0,6104171
Cute,2015.0,20692288
Cyberpunk,2013.0,130825120
Cycling,2014.0,72263
Dark,2014.0,39411854
