genres,user_id,playtime_forever
Action,shinomegami,530882
Free to Play,shinomegami,530882
Massively Multiplayer,shinomegami,530882
RPG,shinomegami,530882
Strategy,shinomegami,530882
Action,thiefofrosesinlalaland,369597
Adventure,thiefofrosesinlalaland,369597
Free to Play,thiefofrosesinlalaland,369597
Indie,thiefofrosesinlalaland,369597
Massively Multiplayer,thiefofrosesinlalaland,369597
RPG,thiefofrosesinlalaland,369597
Animation &amp; Modeling,76561198059330972,65427
Education,76561198059330972,65427
Utilities,76561198059330972,65427
Web Publishing,76561198059330972,65427
Audio Production,SambaWarKiddo,7025
Software Training,SambaWarKiddo,7025
Utilities,SambaWarKiddo,7025
Video Production,SambaWarKiddo,7025
Casual,tsunamitad,600068
Indie,tsunamitad,600068
Simulation,tsunamitad,600068
Design &amp; Illustration,Xyphien,71011
Web Publishing,Xyphien,71011
Massively Multiplayer,mutatedwombat,271857
RPG,mutatedwombat,271857
Early Access,mutatedwombat,271857
Animation &amp; Modeling,76561198059330972,65427
Education,76561198059330972,65427
Utilities,76561198059330972,65427
Web Publishing,76561198059330972,65427
Action,shinomegami,530882
Free to Play,shinomegami,530882
Massively Multiplayer,shinomegami,530882
RPG,shinomegami,530882
Strategy,shinomegami,530882
Indie,wolop,642773
Simulation,wolop,642773
Action,shinomegami,530882
Free to Play,shinomegami,530882
Massively Multiplayer,shinomegami,530882
RPG,shinomegami,530882
Strategy,shinomegami,530882
Action,shinomegami,530882
Free to Play,shinomegami,530882
Massively Multiplayer,shinomegami,530882
RPG,shinomegami,530882
Strategy,shinomegami,530882
Action,mabuhay,74891
Indie,mabuhay,74891
Racing,mabuhay,74891
Sports,mabuhay,74891
Indie,wolop,642773
Simulation,wolop,642773
Audio Production,SambaWarKiddo,7025
Software Training,SambaWarKiddo,7025
Utilities,SambaWarKiddo,7025
Video Production,SambaWarKiddo,7025
Action,mabuhay,74891
Indie,mabuhay,74891
Racing,mabuhay,74891
Sports,mabuhay,74891
Action,shinomegami,530882
Free to Play,shinomegami,530882
Massively Multiplayer,shinomegami,530882
RPG,shinomegami,530882
Strategy,shinomegami,530882
Utilities,BewareWeLive,83352
Video Production,Kipikinson,52768
Design &amp; Illustration,Xyphien,71011
Web Publishing,Xyphien,71011
desconocido,76561197971366625,171674
