user_id,item_id,posted,playtime_forever,genres
76561197970982479,1250,2011-11-05,10006,'Action'
76561197970982479,22200,2011-07-15,271,"'Action', 'Indie'"
76561197970982479,43110,2011-04-21,834,desconocido
js41637,251610,2014-06-24,84,desconocido
js41637,227300,2013-09-08,551,"'Indie', 'Simulation'"
js41637,239030,2013-11-29,349,"'Adventure', 'Indie'"
evcentric,248820,2016-02-03,2328,"'Action', 'Indie', 'RPG'"
evcentric,370360,2015-12-04,403,"'Indie', 'Simulation'"
evcentric,237930,2014-11-03,508,"'Action', 'Indie', 'RPG'"
evcentric,263360,2014-10-15,447,"'Action', 'Indie', 'RPG'"
evcentric,107200,2014-10-15,3225,"'Action', 'Indie', 'RPG', 'Strategy'"
evcentric,224500,2014-10-15,13618,"'Indie', 'Simulation', 'Strategy'"
doctr,250320,2013-10-14,778,'Adventure'
doctr,20920,2012-07-28,2981,'RPG'
doctr,204100,2012-06-02,5297,'Action'
doctr,207610,2012-11-22,1972,'Adventure'
doctr,108710,2012-02-23,1185,"'Action', 'Adventure'"
maplemage,211420,2014-04-15,12347,"'Action', 'RPG'"
maplemage,211820,2013-12-23,3436,"'Action', 'Adventure', 'Casual', 'Indie', 'RPG'"
maplemage,730,2014-03-14,13955,'Action'
maplemage,204300,2013-07-11,17589,"'Action', 'Free to Play', 'Indie', 'Strategy'"
MeaTCompany,730,2016-07-24,18481,'Action'
76561198089393905,72850,2015-02-01,37776,desconocido
76561198156664158,252950,2016-06-16,16470,"'Action', 'Indie', 'Racing', 'Sports'"
76561198156664158,252950,2016-06-16,16470,"'Action', 'Indie', 'Racing', 'Sports'"
76561198077246154,304930,2014-08-25,25150,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
WeiEDKrSat,4000,2013-12-25,16441,"'Indie', 'Simulation'"
thequeenpanda,42910,2012-06-23,1219,"'Action', 'RPG'"
death-hunter,232090,2015-09-05,3789,'Action'
death-hunter,4000,2014-02-19,243840,"'Indie', 'Simulation'"
DJKamBer,304930,2014-07-14,770,"'Action', 'Adventure', 'Casual', 'Free to Play', 'Indie'"
DJKamBer,218620,2015-07-20,25804,Desconocido
DJKamBer,224260,2013-11-04,7366,"'Action', 'Free to Play', 'Indie'"
DJKamBer,1250,2013-07-12,2851,'Action'
Rainbow-Dashie,730,2015-06-19,21385,'Action'
