app_name,positivo,neutral,negativo,playtime_forever,price,Action,Adventure,Casual,Desconocido,Education,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
! That Bastard Is Trying To Steal Our Gold !,0,1,0,742,3.99,1,1,1,0,0,1,0,0,0,0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,1,1,0,15692,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
0RBITALIS,0,1,0,12438,9.99,0,0,0,0,0,1,0,0,0,1,0,0,0
"10,000,000",0,3,0,128680,4.99,1,0,1,0,0,1,0,1,0,0,0,0,0
100% Orange Juice,0,10,4,446717,6.99,0,0,0,0,0,1,0,0,0,0,0,1,0
1001 Spikes,0,1,0,23785,14.99,1,1,0,0,0,1,0,0,0,0,0,0,0
12 Labours of Hercules,0,3,0,56366,2.99,0,0,1,0,0,0,0,0,0,0,0,1,0
12 Labours of Hercules II: The Cretan Bull,1,1,1,50422,2.99,0,0,1,0,0,0,0,0,0,0,0,1,0
12 is Better Than 6,1,0,0,14572,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
140,0,5,1,89961,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
16bit Trader,0,1,0,46535,2.99,0,1,1,0,0,1,0,1,0,1,0,1,0
18 Wheels of Steel: Extreme Trucker,0,1,0,18848,9.99,0,0,0,0,0,0,0,0,0,1,0,0,0
1943 Megami Strike,0,1,0,37741,8.99,1,0,1,0,0,1,0,0,0,0,0,0,0
200% Mixed Juice!,0,1,0,20481,6.99,0,1,0,0,0,1,0,1,0,0,0,0,0
2064: Read Only Memories,0,0,1,15892,19.99,0,1,0,0,0,1,0,0,0,0,0,0,0
20XX,1,1,0,15113,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
30 IMPOSSIBLE LEVELS,0,1,1,804,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
3079 -- Block Action RPG,1,2,0,23994,4.99,1,0,0,0,0,1,0,1,0,0,0,0,0
3089 -- Futuristic Action RPG,1,2,1,33053,6.99,1,0,0,0,0,1,0,1,0,0,0,0,0
3D Ultra™ Minigolf Adventures,0,1,0,8541,9.99,0,0,0,0,0,0,0,0,0,0,1,0,0
3DMark,1,1,0,175310,29.99,0,0,0,0,0,0,0,0,0,0,0,0,1
3DRPG,0,1,0,5993,0.99,0,1,0,0,0,1,0,1,0,0,0,0,0
3SwitcheD,0,1,0,65275,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0
404Sight,0,6,0,11812,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
60 Seconds!,0,3,1,53721,9.99,0,1,1,0,0,1,0,0,0,1,0,1,0
6180 the moon,0,2,0,8760,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
8-Bit Armies,0,1,0,46055,14.99,0,0,0,0,0,1,0,0,0,1,0,1,0
8-Bit Hordes,0,1,0,14094,14.99,0,0,0,0,0,1,0,0,0,1,0,1,0
8BitBoy™,0,1,0,83996,3.99,1,0,1,0,0,1,0,0,0,0,0,0,0
8BitMMO,4,29,6,187237,0.0,1,1,0,0,0,1,1,1,0,0,0,0,0
9.03m,0,3,0,662,0.99,0,0,0,0,0,1,0,0,0,0,0,0,0
911: First Responders®,2,3,0,72668,4.99,0,0,0,0,0,0,0,0,0,1,0,1,0
99 Levels To Hell,0,1,1,87810,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
99 Spirits,0,0,1,114175,9.99,0,1,0,0,0,1,0,1,0,0,0,0,0
9th Company: Roots Of Terror,0,1,0,73055,9.99,0,0,0,0,0,0,0,0,0,0,0,1,0
A Bird Story,2,10,0,21233,3.99,0,1,0,0,0,1,0,1,0,0,0,0,0
A Boy and His Blob,0,1,0,15910,9.99,0,1,0,0,0,0,0,0,0,0,0,0,0
A Lenda do Herói - O Herói desta Canção,0,2,0,11725,15.99,0,1,1,0,0,1,0,0,0,0,0,0,0
A New Beginning - Final Cut,0,0,1,17983,9.99,0,1,0,0,0,1,0,0,0,0,0,0,0
A Story About My Uncle,4,12,0,104006,12.99,0,1,1,0,0,1,0,0,0,0,0,0,0
A Study in Steampunk: Choice by Gaslight,0,1,0,2548,3.99,0,0,0,0,0,1,0,1,0,0,0,0,0
A Virus Named TOM,0,3,0,93212,9.99,1,0,0,0,0,1,0,0,0,0,0,1,0
A Wizard's Lizard,0,1,0,32211,9.99,1,0,0,0,0,1,0,1,0,0,0,0,0
A.R.E.S. Extinction Agenda EX,0,1,0,1471,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
A.R.E.S.: Extinction Agenda,0,2,0,46413,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
A.V.A. Alliance of Valiant Arms™,1,7,2,275468,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABZU,0,4,0,10925,19.99,1,1,1,0,0,1,0,0,0,1,0,0,0
ACE - Arena: Cyber Evolution,0,4,0,23747,189.96,1,0,0,0,0,1,0,0,0,0,1,1,0
ACE Academy,1,1,0,5214,19.99,1,1,0,0,0,1,0,1,0,1,1,0,0
ADventure Lib,0,0,1,2813,1.99,0,1,0,0,0,1,0,0,0,0,0,0,0
