app_name,positivo,neutral,negativo,playtime_forever,price,Action,Adventure,Casual,Desconocido,Education,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
! That Bastard Is Trying To Steal Our Gold !,0.0,0.00012208521548040532,0.0,1.0896278962292961e-06,3.99,1,1,1,0,0,1,0,0,0,0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,0.0018115942028985507,0.00012208521548040532,0.0,2.30437209536794e-05,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
0RBITALIS,0.0,0.00012208521548040532,0.0,1.8265218023315343e-05,9.99,0,0,0,0,0,1,0,0,0,1,0,0,0
"10,000,000",0.0,0.000366255646441216,0.0,0.00018896673542693508,4.99,1,0,1,0,0,1,0,1,0,0,0,0,0
100% Orange Juice,0.0,0.0012208521548040532,0.01238390092879257,0.0006560044540698955,6.99,0,0,0,0,0,1,0,0,0,0,0,1,0
1001 Spikes,0.0,0.00012208521548040532,0.0,3.492830122885958e-05,14.99,1,1,0,0,0,1,0,0,0,0,0,0,0
12 Labours of Hercules,0.0,0.000366255646441216,0.0,8.277353908202224e-05,2.99,0,0,1,0,0,0,0,0,0,0,0,1,0
12 Labours of Hercules II: The Cretan Bull,0.0018115942028985507,0.00012208521548040532,0.0030959752321981426,7.404476790252503e-05,2.99,0,0,1,0,0,0,0,0,0,0,0,1,0
12 is Better Than 6,0.0018115942028985507,0.0,0.0,2.1398999600880463e-05,9.99,1,0,0,0,0,1,0,0,0,0,0,0,0
140,0.0,0.0006104260774020266,0.0030959752321981426,0.00013210783715995108,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0
16bit Trader,0.0,0.00012208521548040532,0.0,6.8336703707588e-05,2.99,0,1,1,0,0,1,0,1,0,1,0,1,0
18 Wheels of Steel: Extreme Trucker,0.0,0.00012208521548040532,0.0,2.767831076567355e-05,9.99,0,0,0,0,0,0,0,0,0,1,0,0,0
1943 Megami Strike,0.0,0.00012208521548040532,0.0,5.542270408570062e-05,8.99,1,0,1,0,0,1,0,0,0,0,0,0,0
200% Mixed Juice!,0.0,0.00012208521548040532,0.0,3.0076373238102715e-05,6.99,0,1,0,0,0,1,0,1,0,0,0,0,0
2064: Read Only Memories,0.0,0.0,0.0030959752321981426,2.3337421195250637e-05,19.99,0,1,0,0,0,1,0,0,0,0,0,0,0
20XX,0.0018115942028985507,0.00012208521548040532,0.0,2.219345875433066e-05,14.99,1,0,0,0,0,1,0,0,0,0,0,0,0
30 IMPOSSIBLE LEVELS,0.0,0.00012208521548040532,0.0030959752321981426,1.1806749711163801e-06,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0
3079 -- Block Action RPG,0.0018115942028985507,0.00024417043096081065,0.0,3.5235217981301524e-05,4.99,1,0,0,0,0,1,0,1,0,0,0,0,0
3089 -- Futuristic Action RPG,0.0018115942028985507,0.00024417043096081065,0.0030959752321981426,4.853837042327079e-05,6.99,1,0,0,0,0,1,0,1,0,0,0,0,0
3D Ultra™ Minigolf Adventures,0.0,0.00012208521548040532,0.0,1.2542468816299754e-05,9.99,0,0,0,0,0,0,0,0,0,0,1,0,0
3DMark,0.0018115942028985507,0.00012208521548040532,0.0,0.0002574429467492694,29.99,0,0,0,0,0,0,0,0,0,0,0,0,1
3DRPG,0.0,0.00012208521548040532,0.0,8.800727738682172e-06,0.99,0,1,0,0,0,1,0,1,0,0,0,0,0
3SwitcheD,0.0,0.00012208521548040532,0.0,9.585641634281307e-05,9.99,0,0,1,0,0,1,0,0,0,0,0,0,0
404Sight,0.0,0.000732511292882432,0.0,1.7345936267197364e-05,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0
